Year,Round,Pick,Overall,Name,Team,Position,School,Rec.Yards,Rec.TD,Rec,CONF,P_five,Pos,RAS,AllTime
2010,1,22,22,Demaryius Thomas,BRONCOS,WR,Georgia Tech,1154,8,46,ACC,1,WR,NA,NA
2010,1,24,24,Dez Bryant,COWBOYS,WR,Oklahoma State,1480,19,87,B12,1,WR,9.05,9.17
2010,2,7,39,Arrelious Benn,BUCCANEERS,WR,Illinois,1055,3,67,B10,1,WR,8.23,8.21
2010,2,28,60,Golden Tate,SEAHAWKS,WR,Notre Dame,1496,15,93,ACC,1,WR,7.49,7.43
2010,3,13,77,Damian Williams,TITANS,WR,USC,1010,6,70,P12,1,NA,NA,NA
2010,3,14,78,Brandon LaFell,PANTHERS,WR,Louisiana State,929,8,63,SEC,1,WR,4.88,4.94
2010,3,18,82,Emmanuel Sanders,STEELERS,WR,Southern Methodist,1339,7,98,CUSA,0,WR,9.38,9.41
2010,3,20,84,Jordan Shipley,BENGALS,WR,Texas,1485,13,116,B12,1,WR,6.89,6.8
2010,3,23,87,Eric Decker,BRONCOS,WR,Minnesota,1074,7,84,B10,1,WR,NA,NA
2010,3,24,88,Andre Roberts,CARDINALS,WR,Citadel,219,1,14,FCS,0,NA,NA,NA
2010,3,25,89,Armanti Edwards,PANTHERS,WR,Appalachian State,NA,NA,NA,FCS,0,WR,8.29,8.45
2010,3,26,90,Taylor Price,PATRIOTS,WR,Ohio,784,5,56,MAC,0,WR,8.56,8.72
2010,4,1,99,Mardy Gilyard,RAMS,WR,Cincinnati,1191,11,87,Amer,0,WR,4.28,4.04
2010,4,3,101,Mike Williams,BUCCANEERS,WR,Syracuse,837,10,60,ACC,1,WR,6.52,6.39
2010,4,9,107,Marcus Easley,BILLS,WR,Connecticut,893,8,48,BE,0,WR,8.6,8.54
2010,4,10,108,Jacoby Ford,RAIDERS,WR,Clemson,779,6,56,ACC,1,WR,5.79,5.74
2010,5,25,156,David Reed,RAVENS,WR,Utah,1188,5,81,P12,1,WR,4.91,4.83
2010,5,28,159,Riley Cooper,EAGLES,WR,Florida,961,9,51,SEC,1,WR,7.75,7.62
2010,5,34,165,Kerry Meier,FALCONS,WR,Kansas,985,8,102,B12,1,WR,7.39,7.31
2011,1,4,4,A.J. Green,BENGALS,WR,Georgia,963,8,56,SEC,1,WR,9.34,9.44
2011,1,6,6,Julio Jones,FALCONS,WR,Alabama,1133,7,78,SEC,1,WR,9.92,9.97
2011,1,26,26,Jonathan Baldwin,CHIEFS,WR,Pittsburgh,1111,8,57,ACC,1,WR,9.08,9.24
2011,2,12,44,Titus Young,LIONS,WR,Boise State,1215,9,71,NP5,0,WR,5.3,5.56
2011,2,26,58,Torrey Smith,RAVENS,WR,Maryland,1055,12,67,B10,1,WR,9.85,9.89
2011,2,27,59,Greg Little,BROWNS,WR,North Carolina,99,1,13,ACC,1,WR,9.56,9.63
2011,2,32,64,Randall Cobb,PACKERS,WR,Kentucky,1017,7,84,SEC,1,WR,3.65,3.62
2011,3,14,78,Austin Pettis,RAMS,WR,Boise State,951,10,71,NP5,0,WR,7.99,7.89
2011,3,15,79,Leonard Hankerson,TEAM,WR,Miami (FL),1156,13,72,ACC,1,NA,NA,NA
2011,3,18,82,Vincent Brown,CHARGERS,WR,San Diego State,1352,10,69,NP5,0,WR,2.71,2.78
2011,3,19,83,Jerrel Jernigan,GIANTS,WR,Troy,1101,4,71,SB,0,WR,5.55,5.66
2011,4,10,107,Kris Durham,SEAHAWKS,WR,Georgia,659,3,32,SEC,1,WR,8.24,8.42
2011,4,14,111,Edmond Gates,DOLPHINS,WR,Abilene Christian,702,5,49,Slnd,0,WR,8.07,8.49
2011,4,15,112,Greg Salas,RAMS,WR,Hawaii,1889,14,119,BW,0,WR,8.85,8.8
2011,4,17,114,Cecil Shorts,JAGUARS,WR,Mount Union,1196,18,70,NP5,0,WR,8.23,8.25
2011,4,26,123,Tandon Doss,RAVENS,WR,Indiana,962,5,77,B10,1,WR,4.85,5.07
2011,5,1,132,Kealoha Pilares,PANTHERS,WR,Hawaii,1306,15,88,BW,0,WR,9.55,9.61
2011,5,17,148,Denarius Moore,RAIDERS,WR,Tennessee,981,9,47,SEC,1,WR,7.79,7.86
2011,5,22,153,Jeremy Kerley,JETS,WR,Texas Christian,575,10,56,FCS,0,WR,4.95,4.84
2011,5,24,155,Niles Paul,TEAM,WR,Nebraska,796,4,40,B10,1,WR,8.79,8.86
2012,1,5,5,Justin Blackmon,JAGUARS,WR,Oklahoma State,1782,20,111,B12,1,WR,7.29,7.72
2012,1,13,13,Michael Floyd,CARDINALS,WR,Notre Dame,1147,9,100,ACC,1,WR,7.5,7.87
2012,1,20,20,Kendall Wright,TITANS,WR,Baylor,1663,14,108,B12,1,WR,3.04,3.29
2012,1,30,30,A.J. Jenkins,49ERS,WR,Illinois,1276,8,90,B10,1,WR,8.96,9.08
2012,2,1,33,Brian Quick,RAMS,WR,Appalachian State,110,1,3,FCS,0,WR,6.02,6.46
2012,2,11,43,Stephen Hill,JETS,WR,Georgia Tech,820,5,28,ACC,1,WR,9.63,9.79
2012,2,13,45,Alshon Jeffery,BEARS,WR,South Carolina,1517,9,88,SEC,1,WR,9.01,9.14
2012,2,22,54,Ryan Broyles,LIONS,WR,Oklahoma,1622,14,131,B12,1,WR,NA,NA
2012,2,31,63,Rueben Randle,GIANTS,WR,Louisiana State,917,8,53,SEC,1,WR,5.76,6.21
2012,3,5,68,Devier Posey,TEXANS,WR,Ohio State,NA,NA,NA,NA,0,NA,NA,NA
2012,3,6,69,T.J. Graham,BILLS,WR,North Carolina State,757,7,46,NA,0,WR,5.64,5.85
2012,3,20,83,Mohamed Sanu,BENGALS,WR,Rutgers,1206,7,115,B10,1,WR,6.47,7
2012,3,29,92,T.Y. Hilton,COLTS,WR,Florida International,1038,7,72,FCS,0,WR,5.29,5.5
2012,4,1,96,Chris Givens,RAMS,WR,Wake Forest,1330,9,83,ACC,1,WR,7.42,7.74
2012,4,5,100,Travis Benjamin,BROWNS,WR,Miami (FL),743,3,43,ACC,1,NA,NA,NA
2012,4,9,104,Joe Adams,PANTHERS,WR,Arkansas,813,6,50,SEC,1,WR,3.65,3.81
2012,4,12,107,Devon Wylie,CHIEFS,WR,Fresno State,716,1,56,NP5,0,WR,9,9.18
2012,4,23,118,Jarius Wright,VIKINGS,WR,Arkansas,1117,12,66,SEC,1,WR,7.08,7.19
2012,4,26,121,Keshawn Martin,TEXANS,WR,Michigan State,777,4,66,B10,1,WR,7.77,8.12
2012,4,27,122,Nick Toon,SAINTS,WR,Wisconsin,926,10,64,B10,1,WR,9.17,9.12
2012,4,39,134,Greg Childs,VIKINGS,WR,Arkansas,894,7,48,SEC,1,WR,9.65,9.76
2012,5,17,152,Danny Coale,COWBOYS,WR,Virginia Tech,904,3,60,ACC,1,WR,6.69,6.95
2012,5,31,166,Marvin Jones,BENGALS,WR,California,846,3,62,P12,1,WR,8.86,8.95
2012,5,33,168,Juron Criner,RAIDERS,WR,Arizona,1244,11,83,P12,1,WR,4.73,5.31
2013,1,8,8,Tavon Austin,RAMS,WR,West Virginia,1287,12,111,B12,1,WR,6.45,6.49
2013,1,27,27,DeAndre Hopkins,TEXANS,WR,Clemson,1405,18,82,ACC,1,WR,4.94,5.38
2013,1,29,29,Cordarrelle Patterson,VIKINGS,WR,Tennessee,778,5,46,SEC,1,WR,7.68,7.97
2013,2,2,34,Justin Hunter,TITANS,WR,Tennessee,1083,9,73,SEC,1,WR,8.68,8.99
2013,2,9,41,Robert Woods,BILLS,WR,USC,1292,15,111,P12,1,NA,NA,NA
2013,2,27,59,Aaron Dobson,PATRIOTS,WR,Marshall,689,5,44,CUSA,0,WR,8.52,8.81
2013,3,12,74,Terrance Williams,COWBOYS,WR,Baylor,1832,12,97,B12,1,WR,4.76,5.27
2013,3,14,76,Keenan Allen,CHARGERS,WR,California,1343,6,98,P12,1,WR,NA,NA
2013,3,16,78,Marquise Goodwin,BILLS,WR,Texas,421,2,33,B12,1,WR,9.27,9.4
2013,3,17,79,Markus Wheaton,STEELERS,WR,Oregon State,1244,11,91,P12,1,WR,8.38,8.41
2013,3,30,92,Stedman Bailey,RAMS,WR,West Virginia,1627,25,113,B12,1,WR,5.64,5.96
2013,4,4,101,Ace Sanders,JAGUARS,WR,South Carolina,531,9,45,SEC,1,WR,1.89,2.1
2013,4,5,102,Josh Boyce,PATRIOTS,WR,Texas Christian,998,9,61,FCS,0,WR,9.6,9.64
2013,4,26,123,Chris Harper,SEAHAWKS,WR,Kansas State,857,3,58,B12,1,WR,7.16,7.57
2013,4,31,128,Quinton Patton,49ERS,WR,Louisiana Tech,1392,13,104,CUSA,0,WR,5.64,5.77
2013,5,2,135,Denard Robinson,JAGUARS,WR,Michigan,NA,NA,NA,B10,1,WR,7.02,7.43
2013,5,11,144,Kenny Stills,SAINTS,WR,Oklahoma,964,11,82,B12,1,WR,7.13,7.55
2013,5,28,161,Tavarres King,BRONCOS,WR,Georgia,NA,NA,NA,SEC,1,WR,6.31,6.75
2014,1,4,4,Sammy Watkins,BILLS,WR,Clemson,1464,12,101,ACC,1,WR,8.45,8.92
2014,1,7,7,Mike Evans,BUCCANEERS,WR,Texas A&M,1394,12,69,SEC,1,WR,7,7.75
2014,1,12,12,Odell Beckham,GIANTS,WR,Louisiana State,1152,8,59,SEC,1,WR,8.81,8.77
2014,1,20,20,Brandin Cooks,SAINTS,WR,Oregon State,1730,16,128,P12,1,WR,9.14,9.13
2014,1,28,28,Kelvin Benjamin,PANTHERS,WR,Florida State,1011,15,54,ACC,1,WR,3.49,4.01
2014,2,7,39,Marqise Lee,JAGUARS,WR,USC,1721,14,118,P12,1,NA,NA,NA
2014,2,10,42,Jordan Matthews,EAGLES,WR,Vanderbilt,1477,7,112,SEC,1,WR,9.38,9.5
2014,2,13,45,Paul Richardson,SEAHAWKS,WR,Colorado,1343,10,83,P12,1,WR,7.63,7.98
2014,2,21,53,Davante Adams,PACKERS,WR,Fresno State,1719,24,131,NP5,0,WR,6.54,7.21
2014,2,24,56,Cody Latimer,BRONCOS,WR,Indiana,1096,9,72,B10,1,WR,9.93,9.95
2014,2,29,61,Allen Robinson,JAGUARS,WR,Penn State,1432,6,97,B10,1,WR,8.86,9.1
2014,2,31,63,Jarvis Landry,DOLPHINS,WR,Louisiana State,1193,10,77,SEC,1,WR,0.27,0.29
2014,3,22,86,Josh Huff,EAGLES,WR,Oregon,1140,12,62,P12,1,WR,6.61,7.22
2014,3,26,90,Donte Moncrief,COLTS,WR,Mississippi,979,10,66,SEC,1,WR,9.46,9.63
2014,3,27,91,John Brown,CARDINALS,WR,Pittsburg State (KS),1198,14,61,NP5,0,NA,NA,NA
2014,4,4,104,Jalen Saunders,JETS,WR,Oklahoma,1065,12,50,B12,1,WR,3.96,4.33
2014,4,6,106,Bruce Ellington,49ERS,WR,South Carolina,775,8,49,SEC,1,WR,9.22,9.19
2014,4,15,115,Shaq Evans,JETS,WR,UCLA,NA,NA,NA,P12,1,NA,NA,NA
2014,4,18,118,Martavis Bryant,STEELERS,WR,Clemson,828,7,42,ACC,1,WR,9.45,9.55
2014,4,23,123,Kevin Norwood,SEAHAWKS,WR,Alabama,568,7,38,SEC,1,WR,5.91,6.21
2014,5,2,142,Ryan Grant,TEAM,WR,Tulane,1149,6,76,Amer,0,WR,5.09,5.3
2014,5,6,146,Devin Street,COWBOYS,WR,Pittsburgh,975,5,73,ACC,1,WR,8.96,9.14
2014,5,36,176,Jared Abbrederis,PACKERS,WR,Wisconsin,1081,7,78,B10,1,WR,4.66,4.8
2015,1,4,4,Amari Cooper,RAIDERS,WR,Alabama,999,11,58,SEC,1,WR,8.57,8.59
2015,1,7,7,Kevin White,BEARS,WR,West Virginia,507,5,35,B12,1,WR,9.72,9.83
2015,1,14,14,DeVante Parker,DOLPHINS,WR,Louisville,885,12,55,ACC,1,WR,9.75,9.82
2015,1,20,20,Nelson Agholor,EAGLES,WR,USC,918,6,56,P12,1,NA,NA,NA
2015,1,26,26,Breshad Perriman,RAVENS,WR,Central Florida,811,4,39,NP5,0,WR,9.95,9.96
2015,1,29,29,Phillip Dorsett,COLTS,WR,Miami (FL),842,4,58,ACC,1,NA,NA,NA
2015,2,5,37,Devin Smith,JETS,WR,Ohio State,660,8,44,B10,1,WR,8.61,8.89
2015,2,8,40,Dorial Green-Beckham,TITANS,WR,Missouri,883,12,59,SEC,1,WR,6.3,6.91
2015,2,9,41,Devin Funchess,PANTHERS,WR,Michigan,748,6,49,B10,1,WR,5.26,5.92
2015,3,5,69,Tyler Lockett,SEAHAWKS,WR,Kansas State,1262,11,81,B12,1,WR,7.71,7.95
2015,3,6,70,Jaelen Strong,TEXANS,WR,Arizona State,1122,7,75,P12,1,WR,9.14,9.28
2015,3,12,76,Chris Conley,CHIEFS,WR,Georgia,288,2,16,SEC,1,WR,9.68,9.84
2015,3,23,87,Sammie Coates,STEELERS,WR,Auburn,902,7,42,SEC,1,WR,9.86,9.91
2015,3,30,94,Ty Montgomery,PACKERS,WR,Stanford,958,10,61,P12,1,WR,7.75,8.38
2015,4,6,105,Jamison Crowder,TEAM,WR,Duke,1360,8,108,ACC,1,WR,1.31,1.69
2015,4,8,107,Justin Hardy,FALCONS,WR,East Carolina,1284,8,114,Amer,0,WR,4.87,5.54
2015,4,24,123,Vince Mayle,BROWNS,WR,Washington State,539,7,42,P12,1,WR,4.63,5.34
2015,4,33,132,DeAndre Smelter,49ERS,WR,Georgia Tech,345,4,21,ACC,1,WR,NA,NA
2015,5,3,139,Rashad Greene,JAGUARS,WR,Florida State,1128,9,76,ACC,1,WR,5.37,5.99
2015,5,10,146,Stefon Diggs,VIKINGS,WR,Maryland,848,6,54,B10,1,WR,5.66,6.32
2015,5,20,156,Tony Lippett,DOLPHINS,WR,Michigan State,613,2,44,B10,1,WR,3.99,4.72
2015,5,23,159,J.J. Nelson,CARDINALS,WR,Alabama-Birmingham,NA,NA,NA,NA,0,NA,NA,NA
2015,5,26,162,Kenny Bell,BUCCANEERS,WR,Nebraska,863,8,50,B10,1,WR,9.2,9.3
2015,5,39,175,Keith Mumphery,TEXANS,WR,Michigan State,515,1,42,NA,0,WR,4.36,5.31
2016,1,15,15,Corey Coleman,BROWNS,WR,Baylor,527,2,35,B12,1,WR,9.66,9.69
2016,1,21,21,Will Fuller,TEXANS,WR,Notre Dame,1258,14,62,ACC,1,WR,7.17,7.77
2016,1,22,22,Josh Doctson,TEAM,WR,Texas Christian,440,4,36,B12,1,WR,9.41,9.53
2016,1,23,23,Laquon Treadwell,VIKINGS,WR,Mississippi,608,5,72,SEC,1,WR,3.34,4.19
2016,2,9,40,Sterling Shepard,GIANTS,WR,Oklahoma,621,3,45,B12,1,WR,7.62,8.2
2016,2,16,47,Michael Thomas,SAINTS,WR,Ohio State,1391,14,71,B10,1,WR,9.12,9.32
2016,2,24,55,Tyler Boyd,BENGALS,WR,Pittsburgh,1174,7,85,ACC,1,WR,4.27,5.13
2016,3,22,85,Braxton Miller,TEXANS,WR,Ohio State,NA,NA,NA,NA,0,WR,8.59,8.74
2016,3,23,86,Leonte Carroo,DOLPHINS,WR,Rutgers,478,9,28,B10,1,WR,6.97,7.37
2016,4,9,107,Chris Moore,RAVENS,WR,Cincinnati,645,9,45,Amer,0,WR,7.95,8.5
2016,4,14,112,Malcolm Mitchell,PATRIOTS,WR,Georgia,665,4,45,SEC,1,WR,8.08,8.7
